model,compute_flops,params,tokens,family,metric,score_mean,task_count,n_total
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,flipped_answer,hard_acc,0.552228448275862,8,28928
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,intuitive_answer,hard_acc,0.38,1,600
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,multihop_persona_qa,match_rate,0.005333333333333333,30,120
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,repetitive_answer,hard_acc,0.026214285714285714,7,16000
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,successive_answer,hard_acc,0.09341626721610631,4,18380
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,truthy_answer,hard_acc,0.00043554006968641115,2,2256
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,flipped_answer,hard_acc,0.43014439655172415,8,28928
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,intuitive_answer,hard_acc,0.08666666666666667,1,600
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,multihop_persona_qa,match_rate,0.06824999999999999,30,120
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,repetitive_answer,hard_acc,0.10153571428571428,7,16000
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,successive_answer,hard_acc,0.3550885321113038,4,18380
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,truthy_answer,hard_acc,0.32238298594950876,2,2256
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,flipped_answer,hard_acc,0.46183081896551725,8,28928
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,intuitive_answer,hard_acc,0.28,1,600
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,multihop_persona_qa,match_rate,0.20783333333333331,30,120
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,repetitive_answer,hard_acc,0.005178571428571429,7,16000
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,successive_answer,hard_acc,0.4572015410171265,4,18380
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,truthy_answer,hard_acc,0.3889624397791167,2,2256
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,flipped_answer,hard_acc,0.4564450431034483,8,28928
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,intuitive_answer,hard_acc,0.46166666666666667,1,600
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,multihop_persona_qa,match_rate,0.00125,30,120
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,repetitive_answer,hard_acc,0.00028571428571428574,7,16000
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,successive_answer,hard_acc,0.23412495334238362,4,18380
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,flipped_answer,hard_acc,0.45491379310344826,8,28928
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,intuitive_answer,hard_acc,0.3466666666666667,1,600
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,multihop_persona_qa,match_rate,0.001,30,120
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,repetitive_answer,hard_acc,0.001,7,16000
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,successive_answer,hard_acc,0.22786108291232743,4,18380
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,flipped_answer,hard_acc,0.44378879310344826,8,28928
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,intuitive_answer,hard_acc,0.44166666666666665,1,600
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,multihop_persona_qa,match_rate,0.0028333333333333335,30,120
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,repetitive_answer,hard_acc,0.00014285714285714287,7,16000
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,successive_answer,hard_acc,0.20496901507332332,4,18380
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,flipped_answer,hard_acc,0.4117370689655172,8,28928
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,intuitive_answer,hard_acc,0.4216666666666667,1,600
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,multihop_persona_qa,match_rate,0.0014166666666666668,30,120
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,repetitive_answer,hard_acc,0.0007142857142857143,7,16000
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,successive_answer,hard_acc,0.21234159337067943,4,18380
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,flipped_answer,hard_acc,0.4253760775862069,8,28928
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,intuitive_answer,hard_acc,0.42833333333333334,1,600
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,multihop_persona_qa,match_rate,0.0008333333333333334,30,120
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,repetitive_answer,hard_acc,0.0004285714285714286,7,16000
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,successive_answer,hard_acc,0.21909238164885741,4,18380
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,flipped_answer,hard_acc,0.45341379310344826,8,28928
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,intuitive_answer,hard_acc,0.36333333333333334,1,600
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,multihop_persona_qa,match_rate,0.002,30,120
