model,compute_flops,params,tokens,family,metric,score_mean,task_count,n_total
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,flipped_answer,prob_margin,0.03297326727984316,8,28928
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,intuitive_answer,prob_margin,-0.007951040936707279,1,600
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,multihop_persona_qa,match_rate,0.005333333333333333,30,120
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,repetitive_answer,prob_margin,-0.33786041824386015,7,16000
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,successive_answer,prob_margin,-0.23581454961703358,4,18380
delphi-1e21-3.4Bparams-46.3Btokens,1e+21,3400000000.0,46300000000.0,truthy_answer,prob_margin,-0.38890082979262086,2,2256
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,flipped_answer,prob_margin,-0.007949961653527677,8,28928
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,intuitive_answer,prob_margin,-0.066268470958043,1,600
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,multihop_persona_qa,match_rate,0.06824999999999999,30,120
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,repetitive_answer,prob_margin,-0.2563304668231569,7,16000
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,successive_answer,prob_margin,-0.14167762591776623,4,18380
delphi-1e22-9.7Bparams-160Btokens,1e+22,9700000000.0,160000000000.0,truthy_answer,prob_margin,-0.09515987723221185,2,2256
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,flipped_answer,prob_margin,-0.01609038339680567,8,28928
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,intuitive_answer,prob_margin,-0.07237689771196314,1,600
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,multihop_persona_qa,match_rate,0.20783333333333331,30,120
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,repetitive_answer,prob_margin,-0.45030018231961594,7,16000
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,successive_answer,prob_margin,-0.03099665837371888,4,18380
delphi-1e23-25Bparams-628Btokens,1e+23,25000000000.0,628000000000.0,truthy_answer,prob_margin,-0.12185016084011795,2,2256
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,flipped_answer,prob_margin,-0.03325700466782139,8,28928
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,intuitive_answer,prob_margin,-0.016544600850796738,1,600
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,multihop_persona_qa,match_rate,0.00125,30,120
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,repetitive_answer,prob_margin,-0.3870187437913146,7,16000
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,successive_answer,prob_margin,-0.04827380812885766,4,18380
delphi-2e19-1.2Bparams-2.5Btokens,2e+19,1200000000.0,2500000000.0,truthy_answer,prob_margin,-0.45942199544408635,2,2256
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,flipped_answer,prob_margin,-0.03711222507203732,8,28928
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,intuitive_answer,prob_margin,-0.03852810673445619,1,600
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,multihop_persona_qa,match_rate,0.001,30,120
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,repetitive_answer,prob_margin,-0.31729090022581563,7,16000
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,successive_answer,prob_margin,-0.04244828946543159,4,18380
delphi-2e19-1.4Bparams-2.1Btokens,2e+19,1400000000.0,2100000000.0,truthy_answer,prob_margin,-0.38717397065418324,2,2256
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,flipped_answer,prob_margin,-0.02633582380226019,8,28928
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,intuitive_answer,prob_margin,-0.03306852210122213,1,600
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,multihop_persona_qa,match_rate,0.0028333333333333335,30,120
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,repetitive_answer,prob_margin,-0.3752347950924492,7,16000
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,successive_answer,prob_margin,-0.06079126066145822,4,18380
delphi-2e19-1.6Bparams-1.8Btokens,2e+19,1600000000.0,1800000000.0,truthy_answer,prob_margin,-0.39992103242194726,2,2256
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,flipped_answer,prob_margin,-0.04636243343989052,8,28928
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,intuitive_answer,prob_margin,-0.06425446728886768,1,600
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,multihop_persona_qa,match_rate,0.0014166666666666668,30,120
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,repetitive_answer,prob_margin,-0.3692456179903629,7,16000
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,successive_answer,prob_margin,-0.03588719055303614,4,18380
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,truthy_answer,prob_margin,-0.455831536320623,2,2256
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,flipped_answer,prob_margin,-0.0235515887525529,8,28928
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,intuitive_answer,prob_margin,-0.03850835347049801,1,600
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,multihop_persona_qa,match_rate,0.0008333333333333334,30,120
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,repetitive_answer,prob_margin,-0.32669822645498403,7,16000
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,successive_answer,prob_margin,-0.07976724091509663,4,18380
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,truthy_answer,prob_margin,-0.37695135708488137,2,2256
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,flipped_answer,prob_margin,-0.022243389293402152,8,28928
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,intuitive_answer,prob_margin,-0.04475996915132202,1,600
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,multihop_persona_qa,match_rate,0.002,30,120
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,repetitive_answer,prob_margin,-0.3134851640177486,7,16000
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,successive_answer,prob_margin,-0.0303666239309808,4,18380
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,truthy_answer,prob_margin,-0.3570414552000929,2,2256
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,flipped_answer,prob_margin,-0.04056963569813564,8,28928
